dataset,section,field,class,doc_id,doc_type,n_questions,n_documents,digital_documents,scanned_documents,unknown_scan_documents,Research report / Introduction,Academic paper,Guidebook,Tutorial/Workshop,Financial report,Brochure,Administration/Industry file
MMLongBench-Doc,document_questions,doc_id,Pew-Research-Center_Hispanic-Identity-Report_12.20.2017.pdf,Pew-Research-Center_Hispanic-Identity-Report_12.20.2017.pdf,Research report / Introduction,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PRE_2022.09.29_NSL-politics_REPORT.pdf,PRE_2022.09.29_NSL-politics_REPORT.pdf,Research report / Introduction,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PP_2021.04.22_voting-access_REPORT.pdf,PP_2021.04.22_voting-access_REPORT.pdf,Research report / Introduction,4,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2311.16502v3.pdf,2311.16502v3.pdf,Academic paper,16,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2023.acl-long.386.pdf,2023.acl-long.386.pdf,Academic paper,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2210.02442v1.pdf,2210.02442v1.pdf,Academic paper,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2306.05425v1.pdf,2306.05425v1.pdf,Academic paper,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,RAR.pdf,RAR.pdf,Academic paper,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2023.findings-emnlp.248.pdf,2023.findings-emnlp.248.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2303.05039v2.pdf,2303.05039v2.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2305.13186v3.pdf,2305.13186v3.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2307.09288v2.pdf,2307.09288v2.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2310.07609v1.pdf,2310.07609v1.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2312.09390v1.pdf,2312.09390v1.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2405.09818v1.pdf,2405.09818v1.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,STEPBACK.pdf,STEPBACK.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,SnapNTell.pdf,SnapNTell.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,f1f5242528411b262be447e61e2eb10f.pdf,f1f5242528411b262be447e61e2eb10f.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,tacl_a_00660.pdf,tacl_a_00660.pdf,Academic paper,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2303.08559v2.pdf,2303.08559v2.pdf,Academic paper,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2310.05634v2.pdf,2310.05634v2.pdf,Academic paper,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2312.04350v3.pdf,2312.04350v3.pdf,Academic paper,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2312.10997v5.pdf,2312.10997v5.pdf,Academic paper,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2401.18059v1.pdf,2401.18059v1.pdf,Academic paper,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2005.12872v3.pdf,2005.12872v3.pdf,Academic paper,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2305.14160v4.pdf,2305.14160v4.pdf,Academic paper,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2309.17421v2.pdf,2309.17421v2.pdf,Academic paper,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,fd76bbefe469561966e5387aa709c482.pdf,fd76bbefe469561966e5387aa709c482.pdf,Academic paper,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2310.09158v1.pdf,2310.09158v1.pdf,Academic paper,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,8dfc21ec151fb9d3578fc32d5c4e5df9.pdf,8dfc21ec151fb9d3578fc32d5c4e5df9.pdf,Guidebook,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,User_Manual_1500S_Classic_EN.pdf,User_Manual_1500S_Classic_EN.pdf,Guidebook,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,mi_phone.pdf,mi_phone.pdf,Guidebook,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,san-francisco-11-contents.pdf,san-francisco-11-contents.pdf,Guidebook,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,t480_ug_en.pdf,t480_ug_en.pdf,Guidebook,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,91521110100M_4K_UHD_Display_User_Manual_V1.1.pdf,91521110100M_4K_UHD_Display_User_Manual_V1.1.pdf,Guidebook,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,obs-productdesc-en.pdf,obs-productdesc-en.pdf,Guidebook,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,stereo_headset.pdf,stereo_headset.pdf,Guidebook,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,Macbook_air.pdf,Macbook_air.pdf,Guidebook,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,NUS-FASS-Graduate-Guidebook-2021-small.pdf,NUS-FASS-Graduate-Guidebook-2021-small.pdf,Guidebook,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,Sinopolis-Chengdu.pdf,Sinopolis-Chengdu.pdf,Guidebook,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,bdf54dxa.pdf,bdf54dxa.pdf,Guidebook,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,DSA-278777.pdf,DSA-278777.pdf,Guidebook,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,Guide-for-international-students-web.pdf,Guide-for-international-students-web.pdf,Guidebook,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,StudentSupport_Guidebook.pdf,StudentSupport_Guidebook.pdf,Guidebook,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,guojixueshengshenghuozhinanyingwen9.1.pdf,guojixueshengshenghuozhinanyingwen9.1.pdf,Guidebook,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,honor_watch_gs_pro.pdf,honor_watch_gs_pro.pdf,Guidebook,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,SAO-StudentSupport_Guidebook-Content.pdf,SAO-StudentSupport_Guidebook-Content.pdf,Guidebook,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,mmdetection-readthedocs-io-en-v2.18.0.pdf,mmdetection-readthedocs-io-en-v2.18.0.pdf,Guidebook,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,nova_y70.pdf,nova_y70.pdf,Guidebook,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,owners-manual-2170416.pdf,owners-manual-2170416.pdf,Guidebook,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,watch_d.pdf,watch_d.pdf,Guidebook,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,catvsdogdlpycon15se-150512122612-lva1-app6891_95.pdf,catvsdogdlpycon15se-150512122612-lva1-app6891_95.pdf,Tutorial/Workshop,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,measuringsuccessonfacebooktwitterlinkedin-160317142140_95.pdf,measuringsuccessonfacebooktwitterlinkedin-160317142140_95.pdf,Tutorial/Workshop,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,chapter8-geneticscompatibilitymode-141214140247-conversion-gate02_95.pdf,chapter8-geneticscompatibilitymode-141214140247-conversion-gate02_95.pdf,Tutorial/Workshop,11,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,c31e6580d0175ab3f9d99d1ff0bfa000.pdf,c31e6580d0175ab3f9d99d1ff0bfa000.pdf,Tutorial/Workshop,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,ddoseattle-150627210357-lva1-app6891_95.pdf,ddoseattle-150627210357-lva1-app6891_95.pdf,Tutorial/Workshop,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,efis-140411041451-phpapp01_95.pdf,efis-140411041451-phpapp01_95.pdf,Tutorial/Workshop,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,bigdatatrends-120723191058-phpapp02_95.pdf,bigdatatrends-120723191058-phpapp02_95.pdf,Tutorial/Workshop,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95.pdf,digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95.pdf,Tutorial/Workshop,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,amb-siteaudits-ds15-150204174043-conversion-gate01_95.pdf,amb-siteaudits-ds15-150204174043-conversion-gate01_95.pdf,Tutorial/Workshop,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,bariumswallowpresentation-090810084400-phpapp01_95.pdf,bariumswallowpresentation-090810084400-phpapp01_95.pdf,Tutorial/Workshop,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,0e94b4197b10096b1f4c699701570fbf.pdf,0e94b4197b10096b1f4c699701570fbf.pdf,Tutorial/Workshop,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,disciplined-agile-business-analysis-160218012713_95.pdf,disciplined-agile-business-analysis-160218012713_95.pdf,Tutorial/Workshop,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,formwork-150318073913-conversion-gate01_95.pdf,formwork-150318073913-conversion-gate01_95.pdf,Tutorial/Workshop,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,52b3137455e7ca4df65021a200aef724.pdf,52b3137455e7ca4df65021a200aef724.pdf,Tutorial/Workshop,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,competitiveoutcomes-091006065143-phpapp01_95.pdf,competitiveoutcomes-091006065143-phpapp01_95.pdf,Tutorial/Workshop,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,avalaunchpresentationsthatkickasteriskv3copy-150318114804-conversion-gate01_95.pdf,avalaunchpresentationsthatkickasteriskv3copy-150318114804-conversion-gate01_95.pdf,Tutorial/Workshop,4,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,b3m5kaeqm2w8n4bwcesw-140602121350-phpapp02_95.pdf,b3m5kaeqm2w8n4bwcesw-140602121350-phpapp02_95.pdf,Tutorial/Workshop,4,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,BESTBUY_2023_10K.pdf,BESTBUY_2023_10K.pdf,Financial report,17,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,afe620b9beac86c1027b96d31d396407.pdf,afe620b9beac86c1027b96d31d396407.pdf,Financial report,17,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,COSTCO_2021_10K.pdf,COSTCO_2021_10K.pdf,Financial report,16,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,AMAZON_2017_10K.pdf,AMAZON_2017_10K.pdf,Financial report,15,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,NETFLIX_2015_10K.pdf,NETFLIX_2015_10K.pdf,Financial report,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,NIKE_2021_10K.pdf,NIKE_2021_10K.pdf,Financial report,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,f86d073b0d735ac873a65d906ba82758.pdf,f86d073b0d735ac873a65d906ba82758.pdf,Financial report,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,q1-2023-bilibili-inc-investor-presentation.pdf,q1-2023-bilibili-inc-investor-presentation.pdf,Financial report,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,ACTIVISIONBLIZZARD_2019_10K.pdf,ACTIVISIONBLIZZARD_2019_10K.pdf,Financial report,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,3M_2018_10K.pdf,3M_2018_10K.pdf,Financial report,4,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,ADOBE_2015_10K.pdf,ADOBE_2015_10K.pdf,Financial report,4,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,Campaign_038_Introducing_AC_Whitepaper_v5e.pdf,Campaign_038_Introducing_AC_Whitepaper_v5e.pdf,Brochure,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021.pdf,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021.pdf,Brochure,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,NYU_graduate.pdf,NYU_graduate.pdf,Brochure,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,camry_ebrochure.pdf,camry_ebrochure.pdf,Brochure,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,finalpresentationdeck-whatwhyhowofcertificationsocial-160324220748_95.pdf,finalpresentationdeck-whatwhyhowofcertificationsocial-160324220748_95.pdf,Brochure,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PWC_opportunity_of_lifetime.pdf,PWC_opportunity_of_lifetime.pdf,Brochure,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,csewt7zsecmmbzjufbyx-signature-24d91a254426c21c3079384270e1f138dc43a271cfe15d6d520d68205855b2a3-poli-150306115347-conversion-gate01_95.pdf,csewt7zsecmmbzjufbyx-signature-24d91a254426c21c3079384270e1f138dc43a271cfe15d6d520d68205855b2a3-poli-150306115347-conversion-gate01_95.pdf,Brochure,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,welcome-to-nus.pdf,welcome-to-nus.pdf,Brochure,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2024.ug.eprospectus.pdf,2024.ug.eprospectus.pdf,Brochure,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,BRO-GL-MMONEY.pdf,BRO-GL-MMONEY.pdf,Brochure,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,Bergen-Brochure-en-2022-23.pdf,Bergen-Brochure-en-2022-23.pdf,Brochure,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,ISEP_student_handbook_2020.pdf,ISEP_student_handbook_2020.pdf,Brochure,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,NUS-Business-School-BBA-Brochure-2024.pdf,NUS-Business-School-BBA-Brochure-2024.pdf,Brochure,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,transform-software-delivery-with-valueedge-brochure.pdf,transform-software-delivery-with-valueedge-brochure.pdf,Brochure,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,2021-Apple-Catalog.pdf,2021-Apple-Catalog.pdf,Brochure,4,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,e79deb02a0c0e87511080836c5d4347b.pdf,e79deb02a0c0e87511080836c5d4347b.pdf,Administration/Industry file,18,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,a5879805d70c854ea4361e43a84e3bb2.pdf,a5879805d70c854ea4361e43a84e3bb2.pdf,Administration/Industry file,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,f8d3a162ab9507e021d83dd109118b60.pdf,f8d3a162ab9507e021d83dd109118b60.pdf,Administration/Industry file,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,3276a5b991c49cf5f9a4af0f7d6fce67.pdf,3276a5b991c49cf5f9a4af0f7d6fce67.pdf,Administration/Industry file,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,0b85477387a9d0cc33fca0f4becaa0e5.pdf,0b85477387a9d0cc33fca0f4becaa0e5.pdf,Administration/Industry file,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,936c0e2c2e6c8e0c07c51bfaf7fd0a83.pdf,936c0e2c2e6c8e0c07c51bfaf7fd0a83.pdf,Administration/Industry file,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,e639029d16094ea71d964e2fb953952b.pdf,e639029d16094ea71d964e2fb953952b.pdf,Administration/Industry file,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,7c3f6204b3241f142f0f8eb8e1fefe7a.pdf,7c3f6204b3241f142f0f8eb8e1fefe7a.pdf,Administration/Industry file,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,edb88a99670417f64a6b719646aed326.pdf,edb88a99670417f64a6b719646aed326.pdf,Administration/Industry file,5,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,a4f3ced0696009fec3179f493e4f28c4.pdf,a4f3ced0696009fec3179f493e4f28c4.pdf,Administration/Industry file,3,1,,,,,,,,,,
MMLongBench-Doc,hop,evidence_pages,single (1 page),,,485,132,,,,109,85,73,62,63,49,44
MMLongBench-Doc,hop,evidence_pages,multi (2 pages),,,247,110,,,,70,48,32,27,41,17,12
MMLongBench-Doc,hop,evidence_pages,zero (0 pages),,,246,112,,,,79,51,36,30,10,24,16
MMLongBench-Doc,hop,evidence_pages,multi (3 pages),,,40,35,,,,10,8,7,9,1,4,1
MMLongBench-Doc,hop,evidence_pages,multi (4 pages),,,22,20,,,,4,4,3,3,2,4,2
MMLongBench-Doc,hop,evidence_pages,multi (5 pages),,,14,13,,,,4,4,2,1,0,1,2
MMLongBench-Doc,hop,evidence_pages,multi (6 pages),,,12,11,,,,5,2,1,1,0,2,1
MMLongBench-Doc,hop,evidence_pages,multi (10 pages),,,6,6,,,,2,1,0,2,0,0,1
MMLongBench-Doc,hop,evidence_pages,multi (7 pages),,,5,5,,,,4,0,0,1,0,0,0
MMLongBench-Doc,hop,evidence_pages,multi (8 pages),,,5,5,,,,2,0,0,3,0,0,0
MMLongBench-Doc,hop,evidence_pages,multi (13 pages),,,2,2,,,,1,0,0,0,0,0,1
MMLongBench-Doc,hop,evidence_pages,multi (9 pages),,,2,2,,,,1,1,0,0,0,0,0
MMLongBench-Doc,hop,evidence_pages,multi (12 pages),,,2,2,,,,1,0,1,0,0,0,0
MMLongBench-Doc,hop,evidence_pages,multi (21 pages),,,1,1,,,,0,0,1,0,0,0,0
MMLongBench-Doc,hop,evidence_pages,multi (15 pages),,,1,1,,,,0,0,0,0,0,0,1
MMLongBench-Doc,hop,evidence_pages,multi (24 pages),,,1,1,,,,1,0,0,0,0,0,0
